Program length stat 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36
cilk0 1000000 avg 236.43315 150.0793333333 113.6376190476 91.6342857143 76.1861428571 65.9295238095 57.3205238095 52.5665238095 49.3128571429 47.435047619 44.5785714286 45.1782857143 45.4695714286 45.0114285714 44.334047619 43.2218095238 43.5664285714 42.6463809524 43.555952381 50.7271428571 51.1639047619 47.5708571429 55.2227142857 55.5487142857 53.5073809524 58.6702857143 60.0782857143 63.0182380952 59.8404285714 64.1236666667 62.2852380952 66.0988571429 75.762047619 75.479 75.4334761905 84.3006190476
cilk0 1000000 max 248.255 158 119.791 109.014 79.693 69.245 64.14 58.668 53.521 51.956 49.554 53.755 50.787 50.138 51.724 52.153 58.015 66.394 55.071 65.038 68.025 60.321 68.825 87.328 66.134 89.991 84.391 105.203 109.705 95.35 95.895 101.39 114.88 126.748 119.065 124.063
cilk0 1000000 min 209.316 120.137 92.611 82.592 66.676 59.309 46.225 47.662 46.767 43.37 37.696 39.78 40.257 41.083 40.065 39.703 37.378 35.933 38.165 42.069 40.839 36.338 45.032 39.27 43.268 36.52 34.824 39.227 36.547 43.024 39.681 44.012 41.525 44.359 46.205 48.999
cilk0 1000000 std 12.2398422559 10.1240804438 5.7100573069 4.5659736108 3.0321115297 2.5689387618 4.8251556412 2.6120166274 2.0394200716 2.3512232662 3.2917762921 2.5286626533 2.4248113653 1.9865939336 2.836203774 2.5287585614 4.2009736678 6.2266134012 4.5559641074 6.1731638427 8.1685702721 6.0438887505 7.0465437495 12.850266706 6.8475666443 15.1409614594 14.6931151875 14.9293125659 18.2362583431 15.3340535487 16.9865121373 13.8601594229 21.2660732376 22.6938883887 25.186347958 23.8564673799
cilk0 2000000 avg 415.1592 259.1164761905 193.4826190476 153.5658095238 133.807047619 117.1528095238 104.4236666667 94.9556190476 85.9869047619 83.098952381 81.5548571429 79.5379047619 76.6867142857 76.2642857143 73.9336666667 73.1208571429 72.9338095238 73.57 71.4375714286 79.7999047619 74.6484761905 76.5317142857 77.1959047619 80.5364761905 80.7989047619 81.3363333333 83.6498571429 80.890047619 82.3576190476 80.6172857143 87.3126190476 103.9781904762 88.2712380952 91.8562380952 95.4644285714 99.5685714286
cilk0 2000000 max 621.967 281.369 201.966 161.478 137.557 132.352 112.169 101.633 94.018 87.632 85.306 83.218 85.674 81.369 78.452 80.496 84.437 83.133 84.075 100.275 87.434 95.045 104.178 119.083 120.136 124.52 119.618 131.093 125.473 117.55 137.76 217.816 144.731 156.1 157.056 169.362
cilk0 2000000 min 367.115 238.876 172.558 133.072 123.634 106.923 93.962 91.506 71.441 73.065 75.904 74.48 65.563 69.039 67.492 65.046 56.925 62.956 57.487 66.567 63.664 62.852 60.638 53.795 56.154 56.868 54.817 59.885 52.872 55.393 56.881 52.922 60.539 60.964 59.223 63.648
cilk0 2000000 std 52.2342691642 12.8809136307 7.5806693206 8.726777874 3.9635240693 5.8233982572 3.7160148188 2.5644297705 5.3559819819 3.1041205433 2.6496263187 2.4741030881 4.6266613572 2.8794912423 3.2854685257 3.541778258 5.9319817146 5.1143175791 7.2773538637 8.5587687368 6.704219743 7.7168295312 10.679983272 15.1388296299 17.5482977633 15.7947443928 21.0105542842 17.2219614112 19.9617591772 16.490588389 22.8472095703 36.8198763165 23.1826158336 24.8165682779 33.8605444191 28.5094504692
cilk0 5000000 avg 964.29995 559.1031428571 408.034047619 323.6056190476 270.2392857143 236.3416190476 206.4683809524 195.1815238095 175.6743333333 164.6278571429 157.0494285714 151.5306190476 149.3281904762 142.7857619048 139.1529047619 138.4480952381 137.1175714286 127.7578571429 132.6201428571 129.0642380952 131.6348571429 133.7747142857 141.0631428571 130.3198095238 136.8509047619 130.0452380952 132.4355714286 132.5652380952 133.1217619048 149.4741904762 137.7651428571 142.1078571429 143.2041904762 131.2530952381 144.0909047619 132.3238571429
cilk0 5000000 max 971.42 596.856 429.161 330.406 278.584 244.793 217.696 204.158 187.805 174.739 169.065 163.386 161.966 160.54 158.396 155.968 153.808 151.181 154.715 166.74 160.557 174.267 176.082 169.337 175.517 174.485 187.725 183.454 209.791 220.206 221.543 206.308 225.723 185.625 232.661 234.055
cilk0 5000000 min 957.007 516.453 362.664 315.565 253.571 222.58 168.438 177.924 153.616 125.547 131.584 122.044 126.861 124.074 116.574 107.753 119.291 105.61 102.076 103.885 100.88 98.927 107.698 94.566 100.767 103.412 106.76 87.608 99.937 100.57 99.94 90.195 97.436 101.704 101.394 98.189
cilk0 5000000 std 4.2824079733 31.1166150991 20.3300063907 4.1982976845 6.4054388932 5.8479129822 11.9717536455 5.96298835 7.4074695702 12.6806458601 9.4646454639 10.9162716597 9.1940710331 9.5126143405 10.8607969869 11.7043496227 10.7256505843 10.9307697409 13.0233290609 14.6274494219 16.9929445868 20.0726027838 18.8072460724 21.9457115369 23.231308764 17.682434439 27.4893250037 29.1260851745 28.2496243124 40.490748959 36.6916643085 41.1262997938 39.0569854682 25.6575233273 34.6177142341 30.0044046738
cilk0 10000000 avg 1935.3018 1048.1166190476 772.2159047619 592.2912857143 481.0516190476 412.5962857143 365.1126190476 327.4598571429 296.7125714286 284.374 267.8386190476 248.1768095238 241.877952381 239.0176666667 224.7751904762 226.1626190476 217.5502857143 217.5403809524 215.4594285714 210.3778571429 218.6444761905 208.0238095238 218.6811904762 213.6691428571 203.4146666667 211.2644285714 200.9664285714 216.3225714286 214.2187619048 209.2367619048 204.6947619048 204.9593809524 214.2360952381 212.4235238095 219.7985714286 235.4088095238
cilk0 10000000 max 1970.125 1078.852 792.832 607.229 493.583 423.223 372.305 339.347 313.343 295.144 309.482 266.445 266.213 258.211 252.703 251.574 248.544 244.206 255.13 254.756 276.814 280.758 293.191 279.922 276.524 316.367 298.244 308.896 293.068 313.976 303.089 310.919 342.125 317.774 361.88 368.814
cilk0 10000000 min 1918.451 990.179 746.696 565.166 451.182 392.59 353.731 307.307 268.366 267.351 226.429 215.422 209.45 206.692 193.7 203.05 186.787 180.674 167.926 174.01 179.489 177.039 160.501 173.745 156.863 148.312 160.852 159.799 163.574 148.307 161.834 154.441 160.539 159.661 172.962 169.109
cilk0 10000000 std 12.0274137072 31.5326500305 13.9365469285 11.2691014333 9.5633721745 7.7031966296 5.6588212596 8.6924084941 11.3853037929 7.5851827269 18.778150898 13.7568927001 12.3079697655 15.1126391353 18.1766258712 13.3996785763 17.8032817456 17.6722400999 25.9482444542 24.8880197792 26.0297448943 28.2774969395 41.586604273 35.6157258403 34.5509107019 48.8986877969 36.3104456742 44.7755538152 43.9550827367 47.1853276283 40.657404601 50.5702530639 52.2560893044 48.595366895 49.5018303122 66.8483840258
