program length stat 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36
cilk2 10000000 avg 1847.4652 962.9471904762 719.7977619048 561.2796666667 470.1254285714 393.8372857143 341.9167619048 297.7034761905 278.0893809524 263.2964285714 252.985047619 243.7793809524 236.2023333333 231.5966666667 229.8142857143 222.6303809524 216.4022857143 217.1496190476 205.8543333333 210.1763809524 197.2713333333 202.364952381 214.5607619048 196.3938095238 202.2804761905 201.0768095238 204.7378095238 205.7826190476 198.5788095238 194.2376190476 208.004 173.1684285714 194.1061428571 197.2455238095 181.276952381 209.6575714286
cilk2 10000000 max 1867.294 986.381 766.099 593.955 489.189 412.015 365.104 328.881 300.606 287.907 280.054 265.201 251.79 255.352 264.861 245.487 245.699 257.115 239.659 257.358 267.227 289.516 304.714 296.339 319.205 308.685 335.148 349.3 263.222 321.625 356.728 253.522 351.454 329.435 339.552 366.769
cilk2 10000000 min 1821.718 929.798 695.908 522.195 435.528 362.863 306.606 275.015 236.685 225.742 219.558 216.447 212.826 200.126 187.669 190.786 162.799 180.899 175.417 175.326 154.96 150.328 170.285 146.134 154.147 147.014 137.341 138.502 160.848 144.702 137.245 139.164 142.489 139.291 143.351 161.86
cilk2 10000000 std 11.1852903809 11.6068188778 19.1310539383 20.4671035697 14.2490356571 14.7761399464 17.997221752 15.2484934752 17.3199506191 17.086766103 16.0027574451 12.9983147157 10.713821178 16.4892494018 21.952210996 14.2628327848 22.2128051474 20.2913944875 19.1166966297 18.4821150399 31.0594763516 36.235373338 40.1737140465 37.938609435 42.8607356162 45.180787382 53.8295277869 66.6098526987 33.5811654393 57.1950779608 58.3305190642 30.7340675303 48.3531771948 52.335576901 42.8687570807 50.44949923
cilk2 20000000 avg 3791.7097 1959.3040952381 1414.5481904762 1073.0058571429 904.6086666667 763.122047619 655.8933809524 572.868 516.203 483.9210952381 471.6738571429 440.3983809524 425.5179047619 407.0496190476 404.8845714286 379.1306190476 374.4035714286 363.5644285714 352.7896666667 350.5888571429 348.4118095238 326.2407619048 355.5894761905 312.2041428571 328.396 320.3553333333 323.7824761905 315.7424285714 321.6716666667 307.8028571429 306.4232857143 305.9162857143 308.2193333333 310.73 303.2095238095 322.5633333333
cilk2 20000000 max 3838.737 2027.443 1470.024 1126.096 943.981 791.254 675.36 593.984 552.053 514.904 501.335 464.999 462.473 432.222 431.938 431.456 417.186 403.999 394.557 432.854 409.671 399.82 466.028 374.434 428.598 398.225 491.566 419.473 521.374 406.738 389.179 391.961 391.534 424.325 412.335 414.171
cilk2 20000000 min 3755.708 1943.754 1372.717 1035.57 861.721 717.247 625.304 542.57 470.602 451.939 403.392 403.313 379.127 367.921 357.378 327.608 317.899 299.008 305.52 299.178 288.962 275.864 293.85 249.038 268.555 268.844 258.428 239.199 260.447 248.987 243.467 248.567 253.434 248.21 245.554 240.725
cilk2 20000000 std 19.5202667667 17.1921374904 22.1912359787 22.5919539312 17.5572848252 18.0580785536 14.1287706807 12.9177502724 18.8325723893 18.5018563066 21.7459696203 17.2250510434 24.7846144552 19.4593936403 19.7002651849 30.1930378903 25.53227254 25.5550519792 29.5353590588 38.4783528523 32.7690009943 32.8945179778 45.597290361 35.0845427108 49.1074094918 43.0720979607 58.6501251658 46.6351017513 58.6887165845 41.0087078256 40.3999285657 41.6638172521 44.2842125078 42.6522126179 45.0112366755 50.0417991646
cilk2 50000000 avg 9981.2897 5088.9880476191 3653.8871904762 2681.8311904762 2234.8892857143 1852.3138571429 1644.6863809524 1436.9132857143 1304.3418571429 1195.9778095238 1122.1593333333 1057.0430476191 1010.2539047619 958.2317619048 940.1396666667 894.4820952381 875.3363809524 840.4222380952 810.1634761905 766.8498571429 768.2364761905 730.6211904762 722.2327619048 704.7267619048 693.6717142857 672.5551428571 658.861 652.9876666667 657.014 644.6453333333 634.931 628.345047619 628.8245238095 627.1228571429 629.2685238095 626.1415714286
cilk2 50000000 max 10124.033 5182.116 3762.726 2758.638 2314.247 1892.645 1687.223 1465.777 1343.968 1236.087 1162.213 1142.035 1110.065 1050.572 1060.563 1000.795 988.259 905.484 893.995 874.096 847.196 838.577 830.376 776.947 792.196 767.336 719.928 751.248 715.199 751.541 711.216 765.265 752.778 779.003 753.697 775.015
cilk2 50000000 min 9907.466 5027.982 3534.396 2642.177 2189.832 1786.383 1570.455 1384.399 1252.147 1131.439 1072.968 981.738 931.759 879.15 825.693 783.431 740.404 743.249 697.585 687.847 662.926 644.539 641.136 623.96 616.589 631.924 594.314 577.131 601.764 591.111 585.221 582.521 571.197 552.346 568.819 560.253
