 chunksize stat 4 8 12 16 20 24
cilk2 100 avg 1228.82605 671.9458 502.5351 402.35385 394.1025 353.13185
cilk2 100 max 1259.36 690.495 521.771 472.715 421.085 442.007
cilk2 100 min 1202.045 661.33 467.994 363.571 326.954 301.489
cilk2 100 std 17.4643646063 7.4415896335 16.9634093392 33.4259750104 27.7631508289 40.6042813315
cilk2 500 avg 1086.26935 593.43905 441.56485 376.76845 340.6014 307.0008
cilk2 500 max 1117.11 599.565 463.941 407.9 384.22 399.436
cilk2 500 min 1048.868 583.183 405.979 341.851 290.525 250.403
cilk2 500 std 20.5318509773 4.372107278 16.8609808551 21.5025181034 33.106795285 45.2894931868
cilk2 1000 avg 1052.74705 577.4691 427.59615 353.9605 321.95095 293.3463
cilk2 1000 max 1098.948 590.423 449.553 384.085 381.306 388.538
cilk2 1000 min 1017.406 568.502 399.91 310.73 272.17 243.017
cilk2 1000 std 24.8304630126 6.2829610091 14.7182241323 20.8620693466 29.6337524001 39.8881033235
cilk2 2000 avg 1010.56635 560.9207 423.3427 350.1685 315.82645 287.53935
cilk2 2000 max 1050.729 567.577 438.404 383.013 351.212 349.45
cilk2 2000 min 985.657 550.888 407.087 309.648 275.666 250.73
cilk2 2000 std 18.9270555479 5.4205210577 8.1582324653 18.5303935582 21.9626513989 29.7786164347
cilk2 5000 avg 979.9813 543.61955 397.9556 342.76105 306.6603 282.0472
cilk2 5000 max 1014.247 555.193 416.591 374.041 340.946 338.266
cilk2 5000 min 966.897 528.126 371.939 311.255 256.469 246.522
cilk2 5000 std 15.9440793766 6.7342283149 13.1087825257 21.2152185259 24.5413092755 27.2559393172
cilk2 10000 avg 959.5764 529.03885 392.4105 334.38115 296.6685 287.26115
cilk2 10000 max 995.038 536.249 412.337 360.971 330.894 348.837
cilk2 10000 min 939.878 512.926 359.485 291.175 273.413 235.551
cilk2 10000 std 16.785952587 6.9768281609 11.6295759867 19.2158523436 17.1692034315 34.499447607
cilk2 20000 avg 941.68465 526.19465 390.6732 330.27365 301.5893 280.05055
cilk2 20000 max 1010.18 533.947 404.743 361.705 340.912 366.649
cilk2 20000 min 918.176 511.788 371.668 296.934 254.674 239.112
cilk2 20000 std 20.9736123518 5.2791300746 8.9999226055 19.4157289717 25.8633156585 34.5750938188
cilk2 50000 avg 926.8281 515.69475 388.28905 330.46515 302.24695 284.91875
cilk2 50000 max 970.411 524.788 413.449 352.984 341.789 390.434
cilk2 50000 min 910.378 500.573 358.195 292.626 274.76 214.702
cilk2 50000 std 18.107802761 6.2966238897 15.0390082871 16.8341806149 18.7753688855 44.6775322987
cilk2 100000 avg 913.0191 517.0646 386.54085 325.45885 310.07605 275.7568
cilk2 100000 max 987.206 540.679 406.887 359.02 357.625 344.274
cilk2 100000 min 899.958 493.573 361.306 286.008 266.791 232.432
cilk2 100000 std 20.519196347 11.6285392276 11.6166086603 21.4722489526 24.5184448216 30.5741668933
cilk2 200000 avg 908.1436 520.6819 392.94955 344.98405 319.44315 294.0498
cilk2 200000 max 957.58 553.147 422.116 376.359 364.566 373.259
cilk2 200000 min 875.987 494.518 369.938 299.058 276.404 258.007
cilk2 200000 std 21.7654568463 16.3950752969 15.1215699494 20.9541887722 26.4634375184 31.405544307
cilk2 500000 avg 909.9489 548.20555 425.10085 384.8725 355.169 337.66755
cilk2 500000 max 946.361 610.427 455.325 424.633 438.152 420.481
cilk2 500000 min 877.563 515.958 373.793 344.436 293.81 268.943
cilk2 500000 std 20.4363973931 25.7988071174 19.1807623422 22.859518226 31.9852332771 35.5156355211
cilk2 1000000 avg 927.32105 592.2427 485.5431 422.4767 454.0093 470.316
cilk2 1000000 max 998.108 683.484 628.744 462.269 557.734 631.429
cilk2 1000000 min 889.109 529.561 405.825 371.487 408.397 398.485
cilk2 1000000 std 26.799378621 31.4641941931 47.5757790554 27.8866019105 36.6537355246 58.9470265417
