 samples stat 4 5 7 8 11 12 15 16
openmp 1 avg 826.9071904762 728.5332857143 575.9886666667 553.1485238095 468.5244761905 438.6296666667 411.9762380952 395.0251428571
openmp 1 max 1239.438 979.895 769.742 706.141 693.712 523.496 515.323 458.811
openmp 1 min 645.674 559.982 443.115 440.679 374.578 369.644 343.71 320.412
openmp 1 std 142.2517646627 128.9563181702 95.6078935509 82.2454527567 79.8140084857 40.0461563678 36.8351090373 37.2368942264
openmp 3 avg 761.1356190476 608.6339047619 495.4762380952 447.7898095238 394.949952381 390.4523333333 367.9731904762 370.2953809524
openmp 3 max 952.097 732.654 575.49 552.629 477.163 475.96 407.005 412.905
openmp 3 min 623.583 503.907 406.757 377.744 336.488 336.386 323.31 341.668
openmp 3 std 95.3054101662 61.3895234547 49.7928813957 43.6681719455 37.2290620356 37.7971626492 24.14330416 23.2467147904
openmp 5 avg 722.403952381 614.8780952381 476.1586190476 436.5640952381 392.667047619 372.5454285714 356.6092857143 356.7525238095
openmp 5 max 874.945 778.57 619.249 505.891 477.737 428.829 385.614 408.281
openmp 5 min 607.48 507.711 401.149 388.004 341.923 348.85 323.091 310.927
openmp 5 std 75.7223345298 66.3696071014 51.0435337574 34.0240496001 38.2281251966 19.8826398337 17.6372706481 21.981098261
openmp 7 avg 710.8212857143 575.463047619 462.750952381 405.0212380952 382.3615238095 365.2221428571 356.8790952381 354.747952381
openmp 7 max 860.201 715.948 551.875 461.65 443.607 420.83 413.694 388.724
openmp 7 min 596.397 491.593 396.651 342.645 350.727 322.857 296.584 316.056
openmp 7 std 79.9613005267 62.9629542171 41.5939851487 27.1188941974 21.9020496635 26.3712914005 25.7417207581 21.5632747107
openmp 9 avg 729.6794285714 592.4906666667 461.3933809524 431.4355714286 365.2489047619 370.4782380952 355.3726666667 362.0632857143
openmp 9 max 926.812 657.473 532.88 573.965 401.65 401.823 410.132 386.822
openmp 9 min 604.543 501.796 397.374 357.99 327.366 310.56 300.049 337.78
openmp 9 std 90.988458458 47.4783806046 39.6041198507 48.7299918126 17.1014468771 23.2254236106 30.4844880871 16.0077065632
openmp 11 avg 685.0855714286 573.8861904762 459.0485714286 418.8598095238 369.7873809524 368.8330952381 355.2797619048 352.6741904762
openmp 11 max 847.683 697.586 502.933 466.693 401.876 406.745 412.165 400.672
openmp 11 min 572.049 482.378 419.793 377.871 338.225 327.354 318.809 319.373
openmp 11 std 69.8473708865 47.095293361 26.9154809943 26.6048956841 17.4340444117 20.573726461 26.584230284 23.4276141799
openmp 23 avg 679.6276666667 574.9748571429 445.069047619 406.6532380952 370.4043809524 363.6696666667 356.5684285714 360.8190952381
openmp 23 max 864.49 660.235 504.897 479.283 393.339 410.818 411.315 401.988
openmp 23 min 582.708 488.329 404.451 361.694 325.741 306.156 318.054 317.738
openmp 23 std 69.6158411565 48.968765097 26.9635598419 35.3160940251 16.3848770593 25.3958656799 24.6738161632 26.4798237209
openmp 31 avg 662.4334761905 578.6961428571 439.8852380952 401.4127142857 376.1943333333 364.3451428571 356.7717142857 356.8936666667
openmp 31 max 855.095 674.082 489.479 443.597 406.437 408.262 431.158 411.505
openmp 31 min 579.106 472.625 378.061 372.825 346.748 332.582 302.279 310.64
openmp 31 std 62.8937378652 47.1480065043 31.5226630948 20.4610150949 16.0568469238 19.5349646744 30.4874312302 28.0641101522
